Geo Point;Geo Shape;TYP
47.4076415616,9.31376281829;"{""type"": ""Point"", ""coordinates"": [9.313762818287724, 47.40764156158783]}";Kandelaberleuchte
47.4080360954,9.31402439191;"{""type"": ""Point"", ""coordinates"": [9.314024391908601, 47.408036095404064]}";Kandelaberleuchte
47.4074203149,9.31298878011;"{""type"": ""Point"", ""coordinates"": [9.312988780110109, 47.40742031485666]}";Kandelaberleuchte
47.434525683,9.3853636544;"{""type"": ""Point"", ""coordinates"": [9.385363654395814, 47.43452568300364]}";Kandelaberleuchte
47.434824059,9.38504708344;"{""type"": ""Point"", ""coordinates"": [9.38504708344264, 47.43482405904225]}";Inselpfosten
47.4348665986,9.38498124069;"{""type"": ""Point"", ""coordinates"": [9.384981240692024, 47.43486659855275]}";Kandelaberleuchte
47.4406835582,9.37449253175;"{""type"": ""Point"", ""coordinates"": [9.374492531751907, 47.440683558203325]}";Kandelaberleuchte
47.4310878027,9.37746956386;"{""type"": ""Point"", ""coordinates"": [9.37746956386371, 47.43108780267]}";Kandelaberleuchte
47.4330856921,9.38003488798;"{""type"": ""Point"", ""coordinates"": [9.38003488798113, 47.43308569205723]}";Kandelaberleuchte
47.4330981261,9.37849530312;"{""type"": ""Point"", ""coordinates"": [9.378495303120236, 47.433098126131874]}";Kandelaberleuchte
47.4337125086,9.37884814683;"{""type"": ""Point"", ""coordinates"": [9.378848146826702, 47.43371250856222]}";Kandelaberleuchte
47.4317312784,9.37640757361;"{""type"": ""Point"", ""coordinates"": [9.376407573609336, 47.431731278390295]}";Kandelaberleuchte
47.4305798071,9.37548347916;"{""type"": ""Point"", ""coordinates"": [9.375483479164824, 47.43057980705822]}";Kandelaberleuchte
47.4271970718,9.37984094615;"{""type"": ""Point"", ""coordinates"": [9.379840946145528, 47.42719707179875]}";Kandelaberleuchte
47.4273527114,9.38019211936;"{""type"": ""Point"", ""coordinates"": [9.380192119357586, 47.42735271141084]}";Kandelaberleuchte
47.4273324345,9.38052990239;"{""type"": ""Point"", ""coordinates"": [9.38052990238532, 47.427332434519606]}";Kandelaberleuchte
47.4285379479,9.38343485313;"{""type"": ""Point"", ""coordinates"": [9.383434853126833, 47.42853794786425]}";Kandelaberleuchte
47.4130116153,9.36540005164;"{""type"": ""Point"", ""coordinates"": [9.365400051637563, 47.41301161530858]}";Kandelaberleuchte
47.4127182302,9.36556178936;"{""type"": ""Point"", ""coordinates"": [9.365561789360378, 47.412718230194855]}";Kandelaberleuchte
47.4144631356,9.36585452716;"{""type"": ""Point"", ""coordinates"": [9.365854527156069, 47.41446313563756]}";Kandelaberleuchte
47.4125845988,9.36508814561;"{""type"": ""Point"", ""coordinates"": [9.36508814561063, 47.41258459875621]}";Beleuchtungsmast
47.412227133,9.36298705852;"{""type"": ""Point"", ""coordinates"": [9.36298705852175, 47.41222713304196]}";Kandelaberleuchte
47.4133698738,9.3626760017;"{""type"": ""Point"", ""coordinates"": [9.362676001698947, 47.413369873847415]}";Kandelaberleuchte
